City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vorkuta,67.5,64.0,266.78,93,59,6.54,RU,1682639874
1,shima,24.4478,117.8111,293.16,74,10,0.35,CN,1682639938
2,waitangi,-43.9535,-176.5597,286.38,78,96,1.34,NZ,1682639798
3,adamstown,-25.066,-130.1015,297.1,66,96,2.57,PN,1682639868
4,puerto ayora,-0.7393,-90.3518,300.12,89,70,2.24,EC,1682639876
5,albany,42.6001,-73.9662,285.31,56,39,0.55,US,1682639871
6,orerokpe,5.6351,5.8896,296.03,92,100,1.22,NG,1682639939
7,nalut,30.3333,10.85,295.86,22,0,6.32,LY,1682639939
8,port augusta,-32.5,137.7667,291.49,66,57,3.61,AU,1682639939
9,port mathurin,-19.6833,63.4167,299.0,81,58,6.41,MU,1682639891
10,tolanaro,-25.0319,46.9987,294.19,94,75,2.06,MG,1682639874
11,sungai penuh,-2.0833,101.3833,292.03,95,87,0.58,ID,1682639940
12,lebu,-37.6167,-73.65,287.69,95,100,5.59,CL,1682639908
13,yellowknife,62.456,-114.3525,279.44,70,75,7.2,CA,1682639828
14,grytviken,-54.2811,-36.5092,274.58,82,35,3.62,GS,1682639782
15,la passe,45.5549,-0.8967,288.28,90,99,1.77,FR,1682639940
16,talnakh,69.4865,88.3972,261.99,95,85,1.29,RU,1682639881
17,sola,-13.8833,167.55,300.33,71,9,0.96,VU,1682639941
18,bredasdorp,-34.5322,20.0403,286.59,85,8,2.03,ZA,1682639589
19,minas de marcona,-15.2119,-75.1103,290.42,82,9,4.8,PE,1682639941
20,margaret river,-33.95,115.0667,286.34,69,92,3.61,AU,1682639790
21,mahibadhoo,3.7833,72.9667,301.75,72,92,1.81,MV,1682639942
22,bilibino,68.0546,166.4372,267.77,63,9,0.63,RU,1682639789
23,bonthe,7.5264,-12.505,300.35,75,48,4.26,SL,1682639942
24,lihue,21.9789,-159.3672,301.73,65,0,6.17,US,1682639942
25,wuwei,37.9281,102.6414,278.54,27,66,7.18,CN,1682639943
26,ubari,26.5921,12.7805,297.32,16,0,3.79,LY,1682639943
27,west island,-12.1568,96.8225,300.14,89,75,5.14,CC,1682639682
28,stanley,54.868,-1.6985,280.24,83,20,2.57,GB,1682639618
29,nehe,48.4833,124.8333,284.47,24,74,8.19,CN,1682639943
30,alaghsas,17.0187,8.0168,303.22,14,29,3.53,NE,1682639944
31,whitehorse,60.7161,-135.0538,280.27,44,75,7.2,CA,1682639904
32,punta arenas,-53.15,-70.9167,278.21,65,0,6.17,CL,1682639865
33,port-aux-francais,-49.35,70.2167,278.76,67,87,12.01,TF,1682639790
34,kahriz,34.3838,47.0553,280.19,76,0,2.06,IR,1682639944
